Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam
Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,Chennai Super Kings,bat,Pune Warriors
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,Kolkata Knight Riders
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,Mumbai Indians
Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders
Deccan Chargers,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,bat,Mumbai Indians
Pune Warriors,Kings XI Punjab,Subrata Roy Sahara Stadium,Pune Warriors,bat,Pune Warriors
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,Rajasthan Royals
Deccan Chargers,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,field,Chennai Super Kings
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,field,Royal Challengers Bangalore
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,field,Rajasthan Royals
Mumbai Indians,Pune Warriors,Wankhede Stadium,Mumbai Indians,field,Pune Warriors
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Delhi Daredevils,field,Delhi Daredevils
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Mumbai Indians
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Royal Challengers Bangalore
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,Delhi Daredevils,bat,
Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,field,Deccan Chargers
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai Indians,bat,Rajasthan Royals
Pune Warriors,Kolkata Knight Riders,Dr DY Patil Sports Academy,Kolkata Knight Riders,field,Kolkata Knight Riders
Chennai Super Kings,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings
Kings XI Punjab,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,bat,Kings XI Punjab
Pune Warriors,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers
Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,field,Kings XI Punjab
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Mumbai Indians,Deccan Chargers,Wankhede Stadium,Deccan Chargers,bat,Deccan Chargers
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab
Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Pune Warriors
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Rajasthan Royals,field,Chennai Super Kings
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Pune Warriors
Royal Challengers Bangalore,Kochi Tuskers Kerala,M Chinnaswamy Stadium,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,field,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Kolkata Knight Riders
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,Royal Challengers Bangalore
Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,field,Delhi Daredevils
Kochi Tuskers Kerala,Kolkata Knight Riders,Nehru Stadium,Kolkata Knight Riders,field,Kochi Tuskers Kerala
Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,Pune Warriors,field,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,Chennai Super Kings
Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Kolkata Knight Riders
Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,field,Mumbai Indians
Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings
Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,Delhi Daredevils,bat,Delhi Daredevils
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Pune Warriors,field,Royal Challengers Bangalore
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,field,Kolkata Knight Riders
Pune Warriors,Chennai Super Kings,Dr DY Patil Sports Academy,Pune Warriors,bat,Chennai Super Kings
Kochi Tuskers Kerala,Deccan Chargers,Nehru Stadium,Kochi Tuskers Kerala,field,Deccan Chargers
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Pune Warriors,field,Chennai Super Kings
Rajasthan Royals,Kochi Tuskers Kerala,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,field,Delhi Daredevils
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Mumbai Indians
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,Kings XI Punjab
Mumbai Indians,Pune Warriors,Wankhede Stadium,Pune Warriors,bat,Mumbai Indians
Kolkata Knight Riders,Kochi Tuskers Kerala,Eden Gardens,Kolkata Knight Riders,field,Kochi Tuskers Kerala
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,bat,Deccan Chargers
Kochi Tuskers Kerala,Chennai Super Kings,Nehru Stadium,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
Pune Warriors,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,field,Delhi Daredevils
Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Kochi Tuskers Kerala,Wankhede Stadium,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders
Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,field,Deccan Chargers
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,Kochi Tuskers Kerala,bat,Pune Warriors
Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Kings XI Punjab
Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Delhi Daredevils,bat,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians
Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders
Pune Warriors,Kings XI Punjab,Dr DY Patil Sports Academy,Kings XI Punjab,bat,Pune Warriors
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,bat,Mumbai Indians
Kochi Tuskers Kerala,Royal Challengers Bangalore,Nehru Stadium,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Dr DY Patil Sports Academy,Chennai Super Kings,bat,Chennai Super Kings
Royal Challengers Bangalore,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,bat,Royal Challengers Bangalore
Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,Chennai Super Kings,bat,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians,bat,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,Kolkata Knight Riders
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,bat,Deccan Chargers
Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,field,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Mumbai Indians
Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,field,Deccan Chargers
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Delhi Daredevils
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals,bat,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings
Mumbai Indians,Delhi Daredevils,Brabourne Stadium,Mumbai Indians,bat,Mumbai Indians
Deccan Chargers,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,field,Deccan Chargers
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,field,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,bat,Kings XI Punjab
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,bat,Deccan Chargers
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,bat,Kings XI Punjab
Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,Deccan Chargers
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings
Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,bat,Rajasthan Royals
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,bat,Kings XI Punjab
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils
Mumbai Indians,Deccan Chargers,Brabourne Stadium,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings
Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Royal Challengers Bangalore
Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders
Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,Chennai Super Kings
Mumbai Indians,Kings XI Punjab,Brabourne Stadium,Mumbai Indians,field,Mumbai Indians
Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils
Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,Deccan Chargers,field,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Rajasthan Royals,bat,Rajasthan Royals
Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Deccan Chargers,"Sardar Patel Stadium, Motera",Deccan Chargers,bat,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Delhi Daredevils
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Rajasthan Royals
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,field,Royal Challengers Bangalore
Mumbai Indians,Kolkata Knight Riders,Brabourne Stadium,Kolkata Knight Riders,bat,Mumbai Indians
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,field,Kings XI Punjab
Deccan Chargers,Delhi Daredevils,Barabati Stadium,Deccan Chargers,bat,Deccan Chargers
Mumbai Indians,Royal Challengers Bangalore,Brabourne Stadium,Mumbai Indians,bat,Royal Challengers Bangalore
Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Rajasthan Royals,bat,Rajasthan Royals
Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,bat,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,Barabati Stadium,Kings XI Punjab,field,Deccan Chargers
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,field,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,bat,Royal Challengers Bangalore
Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",Delhi Daredevils,field,Delhi Daredevils
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,bat,Deccan Chargers
Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,field,Delhi Daredevils
Mumbai Indians,Rajasthan Royals,Brabourne Stadium,Mumbai Indians,bat,Mumbai Indians
Deccan Chargers,Kolkata Knight Riders,Dr DY Patil Sports Academy,Deccan Chargers,field,Kolkata Knight Riders
Royal Challengers Bangalore,Deccan Chargers,New Wanderers Stadium,Royal Challengers Bangalore,field,Deccan Chargers
Royal Challengers Bangalore,Chennai Super Kings,New Wanderers Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Deccan Chargers,SuperSport Park,Deccan Chargers,field,Deccan Chargers
Royal Challengers Bangalore,Deccan Chargers,SuperSport Park,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,SuperSport Park,Delhi Daredevils,field,Delhi Daredevils
Chennai Super Kings,Kings XI Punjab,Kingsmead,Chennai Super Kings,bat,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,Kingsmead,Kolkata Knight Riders,field,Kolkata Knight Riders
Royal Challengers Bangalore,Delhi Daredevils,New Wanderers Stadium,Delhi Daredevils,bat,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,SuperSport Park,Chennai Super Kings,bat,Kolkata Knight Riders
Delhi Daredevils,Rajasthan Royals,OUTsurance Oval,Delhi Daredevils,bat,Delhi Daredevils
Deccan Chargers,Kings XI Punjab,New Wanderers Stadium,Deccan Chargers,field,Kings XI Punjab
Chennai Super Kings,Mumbai Indians,St George's Park,Mumbai Indians,bat,Chennai Super Kings
Deccan Chargers,Kolkata Knight Riders,New Wanderers Stadium,Deccan Chargers,field,Deccan Chargers
Delhi Daredevils,Kings XI Punjab,OUTsurance Oval,Kings XI Punjab,field,Kings XI Punjab
Mumbai Indians,Rajasthan Royals,Kingsmead,Rajasthan Royals,bat,Rajasthan Royals
Royal Challengers Bangalore,Chennai Super Kings,Kingsmead,Chennai Super Kings,bat,Royal Challengers Bangalore
Deccan Chargers,Delhi Daredevils,Kingsmead,Deccan Chargers,field,Delhi Daredevils
Kings XI Punjab,Mumbai Indians,SuperSport Park,Kings XI Punjab,bat,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,SuperSport Park,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Deccan Chargers,Rajasthan Royals,De Beers Diamond Oval,Deccan Chargers,bat,Deccan Chargers
Delhi Daredevils,Kolkata Knight Riders,New Wanderers Stadium,Delhi Daredevils,field,Delhi Daredevils
Royal Challengers Bangalore,Mumbai Indians,St George's Park,Mumbai Indians,bat,Mumbai Indians
Deccan Chargers,Kings XI Punjab,De Beers Diamond Oval,Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,De Beers Diamond Oval,Rajasthan Royals,bat,Chennai Super Kings
Delhi Daredevils,Mumbai Indians,Buffalo Park,Mumbai Indians,bat,Delhi Daredevils
Chennai Super Kings,Kings XI Punjab,SuperSport Park,Chennai Super Kings,bat,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park,Rajasthan Royals,field,Rajasthan Royals
Deccan Chargers,Mumbai Indians,SuperSport Park,Deccan Chargers,bat,Deccan Chargers
Delhi Daredevils,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,bat,Delhi Daredevils
Kings XI Punjab,Rajasthan Royals,Kingsmead,Kings XI Punjab,field,Rajasthan Royals
Chennai Super Kings,Deccan Chargers,Buffalo Park,Chennai Super Kings,bat,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,New Wanderers Stadium,Mumbai Indians,bat,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,St George's Park,Kolkata Knight Riders,bat,Kings XI Punjab
Deccan Chargers,Rajasthan Royals,St George's Park,Deccan Chargers,bat,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils,New Wanderers Stadium,Delhi Daredevils,field,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Buffalo Park,Mumbai Indians,bat,Mumbai Indians
Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,SuperSport Park,Rajasthan Royals,field,Chennai Super Kings
Deccan Chargers,Delhi Daredevils,SuperSport Park,Delhi Daredevils,field,Delhi Daredevils
Kings XI Punjab,Mumbai Indians,Kingsmead,Kings XI Punjab,bat,Kings XI Punjab
Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,bat,Royal Challengers Bangalore
Delhi Daredevils,Rajasthan Royals,SuperSport Park,Delhi Daredevils,bat,Rajasthan Royals
Kolkata Knight Riders,Mumbai Indians,St George's Park,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Deccan Chargers,Kingsmead,Deccan Chargers,field,Deccan Chargers
Royal Challengers Bangalore,Delhi Daredevils,St George's Park,Royal Challengers Bangalore,bat,Delhi Daredevils
Kings XI Punjab,Rajasthan Royals,Newlands,Kings XI Punjab,bat,Kings XI Punjab
Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,Deccan Chargers
Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,Kings XI Punjab
Kolkata Knight Riders,Rajasthan Royals,Newlands,Kolkata Knight Riders,field,Rajasthan Royals
Chennai Super Kings,Delhi Daredevils,Kingsmead,Delhi Daredevils,bat,Delhi Daredevils
Royal Challengers Bangalore,Deccan Chargers,Newlands,Deccan Chargers,bat,Deccan Chargers
Kings XI Punjab,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,field,Kolkata Knight Riders
Royal Challengers Bangalore,Chennai Super Kings,St George's Park,Chennai Super Kings,bat,Chennai Super Kings
Deccan Chargers,Kolkata Knight Riders,Newlands,Kolkata Knight Riders,bat,Deccan Chargers
Delhi Daredevils,Kings XI Punjab,Newlands,Delhi Daredevils,field,Delhi Daredevils
Royal Challengers Bangalore,Rajasthan Royals,Newlands,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Chennai Super Kings,Mumbai Indians,Newlands,Chennai Super Kings,field,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,bat,Chennai Super Kings
Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,Delhi Daredevils,field,Rajasthan Royals
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,Kings XI Punjab
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians
Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Chennai Super Kings
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kings XI Punjab,bat,Kolkata Knight Riders
Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,Rajasthan Royals
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils
Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Kings XI Punjab
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai Indians,field,Kings XI Punjab
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,field,Delhi Daredevils
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders,bat,Chennai Super Kings
Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Mumbai Indians
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,bat,Kings XI Punjab
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,field,Delhi Daredevils
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders
Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,Kings XI Punjab
Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,Kolkata Knight Riders
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,field,Chennai Super Kings
Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai Indians,field,Mumbai Indians
Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,Deccan Chargers
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,Rajasthan Royals
Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,field,Mumbai Indians
Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,Royal Challengers Bangalore
Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Kings XI Punjab
